[99850, 74]
[59203, 2]
[104165, 2]
[110409, 2]
[72575, 4]
[44502, 1]
[98028, 1]
[112378, 1]
[87004, 3]
[74453, 3]
[101403, 1]
[100114, 148]
[112534, 20]
[64644, 2]
[69294, 249]
[29825, 27]
[111781, 248]
[86847, 4]
[98152, 164]
[88348, 1]
[74301, 3]
[54803, 4]
[112298, 2]
[55143, 1]
[67103, 1]
[58054, 62]
[66563, 3]
[54094, 1]
[110829, 2]
[78865, 177]
[112654, 35]
[103422, 46]
[78794, 15]
[59381, 211]
[82271, 31]
[35591, 3]
[103902, 2]
[52547, 2]
[108752, 1]
[75376, 2]
[102128, 4]
[100061, 479]
[72176, 12]
[80960, 2]
[84004, 2]
[74872, 22]
[91949, 1]
[60944, 1]
[86383, 1]
[82691, 275]
[53528, 1]
[102080, 1]
[71962, 1]
[63295, 1]
[74284, 2]
[75485, 1]
[110575, 113]
[86300, 57]
[65403, 21]
[74120, 1]
[79363, 285]
[92285, 2]
[91707, 1]
[80072, 409]
[75973, 115]
[76617, 42]
[87546, 123]
[97303, 105]
[60066, 20]
[89221, 1]
[58972, 4]
[83987, 4]
[90412, 1]
[61049, 1]
[91930, 163]
[56943, 13]
[22128, 1]
[74179, 1]
[67221, 1]
[106802, 1]
[52250, 64]
[79198, 10]
[62288, 30]
[60494, 1]
[92597, 11]
[50581, 1]
[60578, 29]
[92205, 1]
[94488, 1]
[110778, 2]
[61078, 17]
[72965, 2]
[88128, 1]
[81619, 5]
[56913, 1]
[57062, 1]
[83526, 46]
[98189, 1]
[93696, 1]
[93697, 2]
[50467, 12]
[113052, 252]
[77463, 2]
[111596, 262]
[110092, 154]
[71662, 3]
[111246, 43]
[95677, 415]
[91558, 1]
[85737, 380]
[33374, 1]
[107251, 2]
[90834, 1]
[84160, 101]
[81273, 1]
[103090, 86]
[89375, 442]
[103547, 2]
[88392, 38]
[82998, 362]
[80598, 221]
[80594, 29]
[12014, 4]
[12010, 29]
[90315, 17]
[94541, 2]
[27615, 72]
[97930, 42]
[97936, 1]
[12833, 59]
[92264, 154]
[111548, 1]
[88393, 68]
[107895, 10]
[8299, 1]
[93138, 282]
[32222, 67]
[99858, 36]
[91955, 8]
[24146, 8]
[112234, 146]
[108105, 198]
[102105, 169]
[109857, 209]
[91216, 326]
[43858, 102]
[10707, 14]
[73447, 57]
[107283, 125]
[93848, 137]
[24374, 202]
[32607, 1]
[81992, 5]
[81995, 57]
[98497, 2]
[18768, 44]
[33528, 1]
[89946, 59]
[86650, 2]
[44914, 3]
[95962, 150]
[90872, 55]
[90875, 243]
[64006, 1]
[112864, 5]
[112866, 1]
[42177, 183]
[10518, 33]
[54697, 111]
[26831, 1]
[54035, 7]
[54031, 1]
[24572, 1]
[91451, 1]
[28402, 27]
[34322, 15]
[35053, 1]
[91985, 180]
[26068, 2]
[64942, 1]
[102755, 413]
[83439, 27]
[112006, 1]
[71575, 4]
[72219, 1]
[72214, 115]
[31490, 2]
[88298, 2]
[95728, 2]
[81817, 28]
[70946, 27]
[80855, 1]
[14306, 1]
[111009, 182]
[7773, 1]
[88888, 55]
[97398, 144]
[94288, 49]
[43106, 1]
[94136, 78]
[99757, 48]
[95661, 27]
[95666, 46]
[78351, 4]
[72051, 250]
[109422, 2]
[78682, 1]
[73011, 230]
[93629, 2]
[93139, 85]
[104278, 1]
[25696, 1]
[191, 1]
[57576, 1]
[75118, 210]
[102650, 1]
[102658, 3]
[27493, 1]
[18671, 52]
[89040, 4]
[103017, 146]
[85934, 2]
[109748, 34]
[15366, 3]
[73978, 2]
[60992, 2]
[93494, 399]
[13329, 119]
[62377, 2]
[41074, 1]
[48550, 21]
[25321, 168]
[108001, 1]
[61943, 1]
[63545, 1]
[71928, 1]
[66392, 62]
[91293, 2]
[31066, 2]
[100251, 7]
[100252, 28]
[50117, 200]
[55548, 30]
[85363, 297]
[37592, 133]
[18814, 3]
[83010, 7]
[30077, 152]
[103193, 1]
[19059, 1]
[103226, 2]
[16629, 1]
[12284, 14]
[12281, 12]
[102507, 17]
[13156, 1]
[20353, 11]
[44501, 1]
[50750, 1]
[110842, 145]
[110590, 9]
[26354, 139]
[112736, 15]
[91377, 6]
[98026, 3]
[96172, 16]
[102867, 1]
[113021, 166]
[64260, 1]
[113027, 309]
[24843, 104]
[102289, 74]
[37022, 93]
[112375, 7]
[68573, 5]
[79249, 1]
[45053, 51]
[92667, 15]
[74556, 1]
[71276, 90]
[77601, 7]
[70077, 5]
[76560, 3]
[6948, 95]
[88808, 134]
[81402, 174]
[69958, 141]
[43270, 1]
[94205, 1]
[60350, 10]
[80753, 8]
[95557, 6]
[9326, 1]
[48367, 1]
[28567, 1]
[58451, 119]
[34205, 1]
[79056, 41]
[106924, 1]
[106922, 3]
[67748, 2]
[102559, 13]
[73099, 1]
[92311, 1]
[58239, 1]
[104654, 7]
[83269, 169]
[31591, 160]
[85021, 7]
[70228, 2]
[45265, 6]
[87630, 30]
[16134, 136]
[88613, 41]
[65440, 4]
[80540, 5]
[48114, 5]
[27496, 113]
[78259, 64]
[78251, 139]
[78254, 4]
[30993, 26]
[50194, 1]
[79613, 3]
[73111, 2]
[32877, 183]
[107829, 134]
[74698, 27]
[32290, 4]
[42299, 2]
[57324, 41]
[113196, 50]
[75251, 1]
[102995, 1]
[71409, 19]
[71400, 143]
[103114, 74]
[87738, 39]
[108975, 19]
[72329, 1]
[81177, 177]
[62431, 29]
[42202, 96]
[48461, 2]
[89467, 49]
[28265, 97]
[8668, 2]
[66844, 17]
[93943, 2]
[81029, 14]
[90717, 14]
[108062, 1]
[58349, 12]
[63780, 128]
[31146, 122]
[100119, 63]
[107328, 73]
[100111, 90]
[61457, 1]
[24652, 24]
[24655, 3]
[75934, 3]
[73302, 1]
[56750, 1]
[56759, 18]
[74087, 192]
[74084, 1]
[85249, 23]
[101931, 74]
[83975, 15]
[83977, 3]
[83353, 23]
[76655, 12]
[69480, 69]
[112825, 163]
[94703, 96]
[79723, 21]
[34982, 63]
[95077, 105]
[95075, 2]
[34981, 2]
[111706, 1]
[66475, 35]
[22562, 148]
[61126, 119]
[26412, 4]
[98341, 249]
[110073, 193]
[92933, 2]
[93043, 166]
[93047, 1]
[24928, 2]
[95787, 1]
[30133, 7]
[80231, 94]
[108293, 3]
[91588, 36]
[103672, 60]
[91582, 43]
[92581, 136]
[77189, 2]
[32982, 5]
[82401, 235]
[86920, 12]
[86928, 4]
[75763, 24]
[70840, 1]
[15537, 159]
[76444, 187]
[30831, 1]
[86490, 1]
[88921, 1]
[57789, 35]
[5950, 2]
[60543, 32]
[60547, 1]
[91911, 19]
[12370, 37]
[46834, 64]
[68432, 3]
[68438, 124]
[11883, 1]
[94917, 1]
[54149, 23]
[59047, 1]
[23885, 1]
[61082, 1]
[75563, 81]
[34820, 160]
[109948, 31]
[75916, 1]
[107734, 3]
[33658, 2]
[68374, 1]
[67345, 3]
[76134, 116]
[91266, 5]
[91121, 2]
[87958, 5]
[103887, 1]
[85082, 3]
[45106, 33]
[85624, 33]
[5086, 1]
[70494, 13]
[59787, 2]
[82045, 1]
[95958, 1]
[81858, 9]
[11762, 27]
[90794, 160]
[29360, 32]
[57872, 22]
[57878, 31]
[112551, 2]
[67582, 43]
[50094, 1]
[79718, 1]
[110548, 67]
[74001, 166]
[32007, 1]
[84119, 161]
[84113, 17]
[102892, 91]
[102893, 12]
[70654, 159]
[49800, 2]
[14655, 11]
[14657, 22]
[113322, 1]
[89608, 17]
